que	که
argentina	آرژانتینی
peixos	فیش
peixos	ماهیان
peixos	ماهی
àlbum	آلبوم
comercial	الاهلی
comercial	تجاری
exposició	نمایشگاه
bandera	پرچم
proves	آزمونهای
proves	آزمون
proves	آزمودن
proves	آزمایش
proves	تست
equipaments	تجهیزات
equipaments	وسایل
apartaments	یت
berlín	برلین
nau	سفینه
nau	کشتی
nau	کشتیها
última	آخری
última	لست
última	واپسین
última	آخرین
última	اخرین
james	جیمز
james	خامس
piano	piano
piano	پیانوی
piano	پیانو
maría	ماری
maría	مریم
maría	مری
posterior	عقب
temes	موضوعات
temes	موضوعاتی
fets	حقایق
funcions	توابع
economia	اقتصاد
matrimoni	ازدواج
independent	مستقل
treballs	کارها
treballs	جابز
treballs	کارهای
idea	ایده
tradició	سنت
tradició	رسم
federació	فدراسیون
charles	شارل
charles	چارلز
actriu	بازیگر
actriu	actress
mercat	بازار
mercat	مارکت
mercat	بازار
mercat	مارکیت
mercat	بازاری
grau	درجه
grau	نمره
grau	گراو
grau	زینه
grau	درجه
compte	حساب
sector	بخش
sector	سکتور
nit	شبها
nit	شبی
nit	شب
nit	شبانه
favor	منت
favor	نعمتی
favor	نعمت
motiu	دلیلی
motiu	علت
motiu	دلیل
ajuda	کمک
condicions	شروط
condicions	اصطلاحات
condicions	شرایط
masia	ماسیا
dur	سخت
dur	دشوار
comú	رایج
comú	معمولی
comú	مشترک
efecte	اثر
efecte	جلوه
efecte	تأثیر
americà	آمریکایی
americà	امریکایی
americà	امریکن
americà	آمریکن
paraula	سخن
paraula	کلمه
paraula	واژه
paraula	کلام
entitat	موجودیت
muntanyes	کوهستان
muntanyes	کوهها
tradicional	سنتی
sanitaris	توالت
poeta	poet
poeta	شاعری
poeta	شاعر
net	تور
net	net
guillem	ویلیام
problema	مشکل
problema	مسئله
problema	مشکلی
propietat	ویژگی
propietat	دارایی
propietat	ملک
propietat	اموال
propietat	مالکیت
canvis	تغییرات
composició	انشاء
composició	ترکیب
frontera	لبه
frontera	مرزی
frontera	مرزبانی
frontera	مرز
frontera	لبۀ
històric	تاریخی
egipte	مصر
pocs	چند
conèixer	ملاقات
conèixer	دیدار
diferent	متفاوت
escala	مقیاس
george	جرج
george	گئورگ
george	جورج
bretanya	بریتنی
vuit	هشت
passat	past
passat	گذشته
nombrosos	بیشماری
revolució	انقلابی
revolució	انقلاب
coberta	ورق
coberta	عرشه
competició	مسابقه
competició	رقابت
competició	رقابتهای
competició	رقابتها
indústria	صنعت
indústria	صنایع
arquitectura	architecture
arquitectura	معماری
luis	لویس
peu	پای
peu	فوت
peu	پیاده
peu	پا
agrícola	کشاورزی
agrícola	زراعتی
locals	محلی
gen	ژنها
gen	ژن
gen	ژنی
realitat	واقعیت
armes	سلاح
quarta	چهارمی
quarta	چهارم
martí	مارتن
martí	مارتین
mica	میکا
similar	مشابه
seguretat	امنیتی
seguretat	حراست
seguretat	امنیت
seguretat	سلامت
seguretat	امن
seguretat	امنیت
seguretat	ایمنی
www	www
militars	ارتش
militars	نظامی
militars	ارتشی
present	حاضر
present	هدیه
pes	وزنش
pes	وزنه
pes	وزن
edificis	ساختمانهای
edificis	ساختمانها
camps	فیلدز
camps	مزارع
autors	نویسندگان
festa	مهمانی
festa	پارتی
festa	مهمونی
festa	حزب
festa	جشن
soldats	سربازها
soldats	سربازان
comissió	تصدی
comissió	کمیسیون
soviètica	شوروی
xiii	xiii
exterior	ظاهری
dirigir	کارگردانی
canadà	کانادا
arxiu	آرشیو
arxiu	بایگانی
arxiu	پرونده
arribada	ورود
màxim	حداکثر
màxim	بیشینه
línies	خطوط
àustria	اتریش
germans	برادرهای
germans	برادران
germans	برادرها
objectes	اشیاء
objectes	اجسام
objectes	اشیا
marca	مارک
moderna	moderna
moderna	مدرن
moderna	امروزی
moderna	modern
artistes	هنرمندان
fase	مرحله
fase	فازی
fase	فاز
amor	دوست
amor	عشق
amor	عشقی
amor	عاشق
altitud	ارتفاع
ciències	علمی
ciències	علم
ciències	علوم
pis	کف
pis	کفپوش
pis	طبقه
darrer	آخری
darrer	لست
darrer	واپسین
darrer	آخرین
darrer	اخرین
defunció	مرگ
hores	ساعتها
hores	ساعتهای
hores	ساعات
hores	ساعت
cursa	نژاد
cursa	مسابقه
doble	دابل
anderson	اندرسون
anderson	اندرسن
anderson	آندرسون
distància	مسافت
distància	فاصله
econòmica	اقتصادی
tarragona	تاراگونا
oscar	اسکار
traducció	ترجمه
termes	شروط
termes	اصطلاحات
termes	شرایط
joves	جوان
joves	یانگ
joves	جوون
joves	یونگ
normal	نرمال
normal	عادی
normal	معمولی
normal	طبیعی
felip	فلیپ
felip	فیلیپ
hostatgeria	آسایشگاه
botiga	فروشگاه
botiga	خرید
botiga	فروشی
botiga	مغازه
botiga	shop
botiga	فروشگاه
botiga	ذخیره
richard	ریچارد
tropical	گرمسیری
vots	رای
vots	رأی
llarga	طولانی
llarga	لانگ
llarga	دراز
destaca	highlights
nombroses	بیشماری
taula	میز
taula	سفره
taula	جدول
jesús	عیسی
industrial	صنعتی
física	فیزیک
element	عنصر
pàgines	صفحات
ferro	آهن
artista	هنرمند
artista	artist
artista	هنرمندی
mida	اندازۀ
mida	اندازه
enciclopèdia	دانشنامه
secretari	دبیر
secretari	منشی
socials	اجتماعی
socials	سوسیال
objecte	شئ
objecte	مفعول
objecte	شیء
directament	مستقیما
directament	مستقیماً
esposa	زن
esposa	همسر
esposa	عیال
esposa	wife
rep	میگیرد
albert	آلبرت
albert	آلبر
materials	مواد
materials	مصالح
roca	سنگی
roca	صخره
roca	راک
notes	یادداشتها
notes	یادداشتهای
notes	نوت
comercials	الاهلی
comercials	تجاری
marina	مارینا
salvador	سالوادور
usuari	کاربر
cort	دادگاه
cort	دربار
plata	نقره
plata	سیمین
plata	سیلور
hivern	وینتر
hivern	زمستان
hivern	زمستون
hivern	زمستانی
paraules	کلمات
paraules	واژه
temperatura	دما
romans	رومیها
contingut	محتویات
contingut	رضایت
contingut	خرسند
contingut	محتوای
contingut	محتوا
lleida	لریدا
suïssa	سویس
suïssa	سوییس
suïssa	سوئیس
evolució	تکامل
evolució	فرگشت
evolució	تحول
evolució	evolution
evolució	اوولوشن
representació	پرداخت
representació	رندر
representació	نمایندگی
comandament	فرمان
vora	لبه
vora	اج
vora	لبۀ
vora	لبه
vora	مرزی
vora	مرزبانی
vora	مرز
vora	لبۀ
xii	دوازدهم
vallès	بایس
cantant	singer
cantant	خواننده
cantant	آواز
cantant	خوانندگی
existència	وجود
llibertat	ازادی
llibertat	آزادی
llibertat	لیبرتی
malaltia	بیماری
elemental	ابتدایی
elemental	مقدماتی
rius	رودهای
rius	ریورز
rius	رودها
michael	میکائیل
michael	مایکل
torneig	مسابقات
torneig	تورنومنت
torneig	تورنمنت
ambdós	هردو
salut	سلامت
salut	بهداشت
salut	health
salut	سلامتی
prou	کافیه
crítica	انتقاد
crítica	نقد
crítica	انتقاد
oficina	اداره
oficina	دفتر
assassinat	قتل
oficials	ماموران
oficials	افسران
marine	دریایی
marine	مارین
efectes	تأثیرات
efectes	تاثیرات
efectes	اثرات
efectes	آثار
hora	ساعتی
hora	ساعت
química	chemistry
química	شیمی
estadi	ورزشگاه
estadi	ورزشگاه
hospital	بیمارستان
hospital	بیمارستانی
investigació	تحقیق
investigació	تحقیقاتی
investigació	تحقیقات
investigació	پژوهش
escacs	چس
escacs	شطرنج
protecció	حفاظت
protecció	پناه
protecció	محافظت
publicació	چاپخانه
publicació	پست
publicació	پستی
publicació	post
carta	کارتا
carta	حرف
carta	نامه
carta	نامهای
foc	آتشسوزی
foc	آتش
foc	آتیش
socialista	سوسیالیستی
socialista	سوسیالیست
viatge	سفر
carlos	کارلوس
carlos	اوس
resistència	مقاومت
resistència	مقاومتی
resistència	مخالفان
garcía	گارسیا
garcía	گارسیا
motor	موتور
expedició	اکتشاف
àmbit	فیلد
àmbit	حوزه
àmbit	منطقه
àmbit	مساحت
àmbit	ناحیه
àmbit	دامنه
colors	رنگها
colors	رنگهای
colors	رنگها
sap	ساپ
recuperar	بازیابی
allà	آنجا
federal	فدرال
torres	تورس
mur	وال
mur	دیواری
mur	دیوار
escoles	مدارس
animal	حیوانی
animal	حیوانات
animal	جانوران
animal	حیوان
ràdio	رادیویی
ràdio	رادیو
ràdio	بیسیم
pierre	پیر
pierre	پییر
mètode	متد
mètode	روش
memòria	خاطره
memòria	حافظه
memòria	حافظۀ
cara	چهره
cara	صورت
cara	face
lletres	شعر
lletres	شعرای
quart	quart
quart	چهارمی
quart	چهارم
jugadors	بازیکنان
jugadors	بازیکن
cambres	چمبرز
quilòmetres	کیلومتر
quilòmetres	مایل
quilòmetres	مایلز
martin	مارتن
martin	مارتین
blanca	بلانکا
missió	مأموریت
missió	ماموریت
concepte	مفهومی
concepte	مفهوم
polítiques	سیاستهای
rock	سنگی
rock	صخره
rock	راک
pràctica	تمرین
anna	آنا
anna	انا
setmana	هفته
setmana	هفتۀ
smith	اسمیت
participació	مشارکت
vii	هفتم
mena	منا
futur	اینده
futur	future
futur	آینده
individual	شخصی
individual	فرد
britànica	بریتانیایی
britànica	بریتانیا
ciència	علمی
ciència	علم
ciència	علوم
filosofia	فلسفه
capità	کاپیتان
capità	سروان
capità	ناخدا
bosc	وودز
bosc	فارست
bosc	جنگل
bosc	جنگلی
fórmula	فرمول
fundada	بنیان
verd	سبز
verd	گرین
escena	صحنه
escena	سکانس
pressió	فشار
pressió	فشاری
viena	وین
viena	وینا
joseph	یوسف
joseph	یوزف
joseph	ژوزف
joseph	جوزف
bgcolor	bgcolor
concentració	غلظت
classes	کلاس
classes	کلاسهای
classes	کلاسها
sortida	خروجی
sortida	خروج
thomas	توماس
thomas	تامس
thomas	توما
colònia	کلن
colònia	ادکلن
colònia	کلونی
colònia	مستعمره
por	خوف
por	ترس
ciclista	cyclist
fulles	برگها
fulles	برگ
arquitecte	معمار
arquitecte	architect
règim	رژیم
portal	پورتال
recursos	منابع
creixement	رشد
establiment	موسسه
establiment	تاسیس
establiment	تأسیس
conflicte	درگیری
conflicte	منازعه
conflicte	کشمکش
conflicte	نزاع
conflicte	ناسازگاری
pedro	پدرو
assemblea	مجلس
assemblea	مجمع
assemblea	محفل
tribus	قبایل
tribus	قبیله
tribus	پشتون
tribus	قبایلی
polítics	سیاستمداران
poesia	شعر
ferran	فردیناند
peter	پتر
peter	پیتر
peter	پطرس
alfons	آلفونسو
vint	بیست
ràpidament	بسرعت
mil	هزار
mil	میل
regnat	سلطنت
regnat	حکمرانی
catòlica	کاتولیک
àrees	نواحی
àrees	مناطق
pares	پدرها
naturals	طبیعی
naturals	natural
amic	دوست
amic	دوستی
mont	کوه
mont	طور
irlanda	ایرلند
contacte	ارتباط
contacte	آشنا
contacte	آشنای
contacte	تماس
louis	لویی
louis	لوئی
minuts	دقیقه
minuts	دقایقی
cert	راست
cert	حقیقی
cert	درست
cert	true
bronze	برنز
bronze	برنزی
bronze	لرستان
actiu	فعال
revolta	شورش
medicina	دارو
medicina	طب
medicina	پزشکی
medicina	داروها
abu	ابو
taller	کارگاه
valenciana	valenciana
curs	دوره
apareixen	ظاهر
modern	مدرن
modern	امروزی
modern	modern
polònia	لهستان
combat	مقابله
combat	نبرد
líder	لیدر
líder	رهبر
fundador	بنیانگذار
fundador	موسس
afegir	افزودن
bèlgica	بلژیک
corrent	جاری
corrent	جریان
sola	تنهایی
sola	تنها
princesa	پرنسس
princesa	شاهدخت
títols	عناوین
vermell	رد
vermell	قرمز
vermell	سرخ
film	فیلم
film	film
humà	انسان
humà	انسانی
humà	بشر
vaixells	قایقهای
vaixells	قایقها
vaixells	کشتیها
vaixells	کشتی
coneguts	آشنایان
límit	حد
límit	محدود
límit	محدودیت
galeria	گالری
galeria	نگارخانه
galeria	gallery
flors	گل
flors	گلها
https	https
acte	عمل
mal	مال
producte	فرآورده
producte	محصول
producte	ضرب
producte	حاصل
coses	اوضاع
coses	چیز
coses	چیزها
coses	مادۀ
coneixement	دانش
coneixement	آگاهی
coneixement	علم
coneixement	معرفت
totalment	کلا
seguint	following
seguint	ذیل
tribu	قبیله
raó	دلیلی
raó	علت
raó	دلیل
estrella	استار
estrella	ستاره
germana	خواهر
germana	خواهری
germana	خواهرش
comuna	کمون
llevant	لوانته
moviments	حرکات
moviments	حرکات
nov	نوامبر
boscos	جنگلهای
boscos	جنگلها
alemanys	آلمانیا
alemanys	آلمانیها
alemanys	آلمانها
comitè	کمیته
comitè	کمیسیون
finestres	ویندوز
ronda	روندا
morts	مرده
morts	مردن
morts	مُرده
morts	مردگان
pista	شیار
usuaris	کاربران
don	دان
monument	یادبود
monument	یادمان
reconeixement	تشکر
reconeixement	قدردانی
reconeixement	پاس
tractament	درمانش
tractament	معالجه
tractament	درمان
palma	پالما
figures	شکلها
figures	شکلی
figures	شکلهای
figures	ارقام
miguel	میگل
miguel	میگوئل
santiago	سانتیاگو
smithsonian	اسمیتسونین
feina	شغل
feina	کار
feina	ایوب
suècia	سوئد
washington	واشینگتون
washington	واشنگتون
washington	واشینگتن
washington	واشنگتن
rosa	پینک
rosa	صورتی
rosa	رز
rosa	رُز
rosa	روسا
rosa	روزا
rosa	رز
rosa	رزا
valors	مقادیر
valors	ارزشها
park	park
park	پارک
religió	مذهب
religió	دین
enllaç	پیوند
enllaç	لینک
tasca	تکلیف
nacions	ملت
nacions	ملتها
nacions	ملل
fundat	بنیان
obert	باز
documents	اسناد
policia	پولیس
policia	پلیس
oposició	اپوزیسیون
oposició	مخالف
oposició	مخالفین
oposició	مخالفت
tècniques	تکنیکهای
digital	رقمی
digital	digital
digital	دیجیتالی
digital	دیجیتال
anònim	ناشناس
anònim	گمنام
predecessor	اسبق
org	org
milà	میلان
residència	اقامتگاه
residència	جایگاه
residència	اقامت
setge	محاصره
quadre	میز
quadre	سفره
quadre	جدول
conquesta	فتح
completament	کاملا
autònoma	خودگردان
